file_name,device_serial,host_ip,iteration,mBands,ssRsrp,ssRsrq,ssSinr,level,mean_ssRsrp,mean_ssRsrq,mean_ssSinr
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,162,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,163,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,164,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,165,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,166,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,167,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,168,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,169,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,170,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,171,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,172,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,173,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,174,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,175,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,176,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,177,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,178,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,179,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,180,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,181,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,182,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,183,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,184,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,185,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,186,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,187,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,188,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,189,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,190,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,191,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,192,78,-54,-11,32,4,-54,-11,32
